Organization,list
2tryhope.com,2th
Ackerley Advertising,aa
abclifecenter.com,abclc
https://acpeds.org/,acped
adoorofhopela.com,adohla
afltucson.com,afl
agnusdeifoundation.org,adf
allianceforlifemissouri.com,aflm
athomeabortionfacts.com,ahaf
ancciuniversity.org,ancciu
alphasglory.org / aberdeenprc.org,ag
"amnionpregnancycenter.com, friendsofamnion.org",apc
akronpregnancyservices.com,aps
american-restoration.com,at
aspirelaconia.org,ar
aspire-now.org / aspire-together.org,aspire
birthrightsanjose.org,awc
avawomenscenter.com and heartbeatcc.com,bc
boyschorus.org,bc2
birthchoice.net,bf
beadfrenzyaz.com and imaginerealtyltd.com,bfbbq
brushfirebbq.com,blj
birthlinejackson.org / womensplacejackson.com,bm
brianmitchelldds.com,bsj
bridgespregnancyclinic and friendsofbridges,bridges
brazospregnancycenter.com,bpc
c3yadkin.com,c3
cornerstoneanswers.org + cornerstonepregnancy.org ,ca
ccapglobal.org,ccapg
carenetconcord.com,cc
choicescenter.org,cc2
castlecountryprc.org,ccprc
crossexamined.org,ce
catherinefoundation.org,cf
coachesforcharity.org,cfc
centerforpregnancyconcerns.org,cfpc
centerforpregnancychoices.com,cfpc2
chooselifeidaho.org,cli
cmsaz.com,cmsaz
catalinanorth.org,cn
carenetcchilton.org and friendsofcarenetchilton.org,cnc
coffeenewstucson.com,cnt
colfsclinic.org and friendsofcolfs.org (and colfhc.org and colfs.org),colfs
communitypregnancyclinic.com,cpc
carepregnancycenter.com,cpc2
clearwayclinic.com,cwc
covidplanningtools.com,cpt
cpclenawee.com / friendsofcpclenawee.com,cpcl
destinyforwomenfriends.com/destinyforwomen.com (gianna womens clinic),cwpwtx
desertspringsbaptist.org,dfw
disgraceundone.org,dsb
ellsworthcrossing.com,du
eeaz.org,ec
esteemwomenscenter.org/ donor:elifeservices.org,eeaz
empccfree.com,els
"evawomensclinic.com, thepregnancyandparentingcenter.com, hopefordeeperhealing.com",empccf
embracetx.org,eva
familylifepcc.org,etx
firstchoiceok.com /  fcfriends.life,flpcc
